# step, energy, mass, x-momentum, y-momentum, z-momentum 
214 7.9553220e+08 3.1024880e+03 2.8767752e+05 4.3746473e+04 0.0000000e+00
215 7.9035511e+08 3.0844524e+03 2.8517241e+05 4.3525983e+04 0.0000000e+00
216 7.8529305e+08 3.0668413e+03 2.8274581e+05 4.3241238e+04 0.0000000e+00
217 7.8029947e+08 3.0494607e+03 2.8040671e+05 4.2937967e+04 0.0000000e+00
218 7.7537083e+08 3.0323352e+03 2.7813265e+05 4.2564184e+04 0.0000000e+00
219 7.7045194e+08 3.0152222e+03 2.7591942e+05 4.2139103e+04 0.0000000e+00
220 7.6545065e+08 2.9977580e+03 2.7375304e+05 4.1656835e+04 0.0000000e+00
221 7.6041586e+08 2.9800936e+03 2.7161291e+05 4.1146101e+04 0.0000000e+00
222 7.5527753e+08 2.9620138e+03 2.6950951e+05 4.0660023e+04 0.0000000e+00
223 7.5002563e+08 2.9434975e+03 2.6742596e+05 4.0144472e+04 0.0000000e+00
224 7.4469158e+08 2.9246808e+03 2.6535466e+05 3.9623611e+04 0.0000000e+00
225 7.3921128e+08 2.9052280e+03 2.6329975e+05 3.9120489e+04 0.0000000e+00
226 7.3347761e+08 2.8848045e+03 2.6122463e+05 3.8539061e+04 0.0000000e+00
227 7.2766158e+08 2.8640065e+03 2.5919395e+05 3.8090884e+04 0.0000000e+00
228 7.2174622e+08 2.8427899e+03 2.5717810e+05 3.7665725e+04 0.0000000e+00
229 7.1572229e+08 2.8211362e+03 2.5518714e+05 3.7272155e+04 0.0000000e+00
230 7.0960119e+08 2.7990382e+03 2.5321869e+05 3.6896037e+04 0.0000000e+00
231 7.0338689e+08 2.7766141e+03 2.5126748e+05 3.6485303e+04 0.0000000e+00
232 6.9717684e+08 2.7541124e+03 2.4934553e+05 3.6178106e+04 0.0000000e+00
233 6.9099475e+08 2.7316514e+03 2.4743482e+05 3.5899857e+04 0.0000000e+00
234 6.8481284e+08 2.7091664e+03 2.4552881e+05 3.5624731e+04 0.0000000e+00
235 6.7863986e+08 2.6866983e+03 2.4363492e+05 3.5402666e+04 0.0000000e+00
236 6.7249444e+08 2.6643099e+03 2.4175195e+05 3.5175146e+04 0.0000000e+00
237 6.6634962e+08 2.6418522e+03 2.3989479e+05 3.5071554e+04 0.0000000e+00
238 6.6031230e+08 2.6197259e+03 2.3805271e+05 3.4989683e+04 0.0000000e+00
239 6.5437448e+08 2.5979543e+03 2.3622285e+05 3.4975711e+04 0.0000000e+00
240 6.4851577e+08 2.5764494e+03 2.3440680e+05 3.4963927e+04 0.0000000e+00
241 6.4273301e+08 2.5551537e+03 2.3262161e+05 3.4993982e+04 0.0000000e+00
242 6.3704184e+08 2.5341775e+03 2.3085086e+05 3.5013995e+04 0.0000000e+00
243 6.3147162e+08 2.5136379e+03 2.2908958e+05 3.4980159e+04 0.0000000e+00
244 6.2600864e+08 2.4934547e+03 2.2733860e+05 3.4913358e+04 0.0000000e+00
245 6.2064343e+08 2.4736105e+03 2.2558390e+05 3.4825915e+04 0.0000000e+00
246 6.1542648e+08 2.4542831e+03 2.2383404e+05 3.4736013e+04 0.0000000e+00
247 6.1032796e+08 2.4353631e+03 2.2212129e+05 3.4634633e+04 0.0000000e+00
248 6.0528598e+08 2.4166580e+03 2.2041010e+05 3.4505345e+04 0.0000000e+00
249 6.0035025e+08 2.3983303e+03 2.1872870e+05 3.4361068e+04 0.0000000e+00
250 5.9546474e+08 2.3801503e+03 2.1704977e+05 3.4200085e+04 0.0000000e+00
251 5.9066132e+08 2.3622568e+03 2.1539411e+05 3.4003124e+04 0.0000000e+00
252 5.8590395e+08 2.3445148e+03 2.1376834e+05 3.3833883e+04 0.0000000e+00
